,Date,Price
0,2010-01-04,7.643214225769043
1,2010-01-05,7.656428813934326
2,2010-01-06,7.534643173217773
3,2010-01-07,7.520713806152344
4,2010-01-08,7.570713996887207
5,2010-01-11,7.503929138183594
6,2010-01-12,7.4185709953308105
7,2010-01-13,7.523213863372803
8,2010-01-14,7.479642868041992
9,2010-01-15,7.354642868041992
10,2010-01-19,7.679999828338623
11,2010-01-20,7.56178617477417
12,2010-01-21,7.431070804595947
13,2010-01-22,7.0625
14,2010-01-25,7.252500057220459
15,2010-01-26,7.355000019073486
16,2010-01-27,7.424285888671875
17,2010-01-28,7.117499828338623
18,2010-01-29,6.859285831451416
19,2010-02-01,6.9546427726745605
20,2010-02-02,6.994999885559082
21,2010-02-03,7.115356922149658
22,2010-02-04,6.85892915725708
23,2010-02-05,6.980713844299316
24,2010-02-08,6.932857036590576
25,2010-02-09,7.006785869598389
26,2010-02-10,6.968571186065674
27,2010-02-11,7.0953569412231445
28,2010-02-12,7.156428813934326
29,2010-02-16,7.264286041259766
30,2010-02-17,7.23392915725708
31,2010-02-18,7.247499942779541
32,2010-02-19,7.202499866485596
33,2010-02-22,7.1578569412231445
34,2010-02-23,7.0378570556640625
35,2010-02-24,7.166429042816162
36,2010-02-25,7.214285850524902
37,2010-02-26,7.307857036590576
38,2010-03-01,7.463929176330566
39,2010-03-02,7.458929061889648
40,2010-03-03,7.476070880889893
41,2010-03-04,7.525356769561768
42,2010-03-05,7.819643020629883
43,2010-03-08,7.824285984039307
44,2010-03-09,7.965000152587891
45,2010-03-10,8.029999732971191
46,2010-03-11,8.053570747375488
47,2010-03-12,8.092857360839844
48,2010-03-15,7.994286060333252
49,2010-03-16,8.016071319580078
50,2010-03-17,8.00428581237793
51,2010-03-18,8.023214340209961
52,2010-03-19,7.9375
53,2010-03-22,8.026785850524902
54,2010-03-23,8.15571403503418
55,2010-03-24,8.19178581237793
56,2010-03-25,8.094642639160156
57,2010-03-26,8.246429443359375
58,2010-03-29,8.299642562866211
59,2010-03-30,8.423213958740234
60,2010-03-31,8.39285659790039
61,2010-04-01,8.427499771118164
62,2010-04-05,8.517499923706055
63,2010-04-06,8.555000305175781
64,2010-04-07,8.592857360839844
65,2010-04-08,8.569643020629883
66,2010-04-09,8.635356903076172
67,2010-04-12,8.653214454650879
68,2010-04-13,8.65821361541748
69,2010-04-14,8.774642944335938
70,2010-04-15,8.890000343322754
71,2010-04-16,8.835714340209961
72,2010-04-19,8.823928833007812
73,2010-04-20,8.735357284545898
74,2010-04-21,9.257857322692871
75,2010-04-22,9.516785621643066
76,2010-04-23,9.672499656677246
77,2010-04-26,9.625
78,2010-04-27,9.35857105255127
79,2010-04-28,9.342857360839844
80,2010-04-29,9.59428596496582
81,2010-04-30,9.3246431350708
82,2010-05-03,9.512499809265137
83,2010-05-04,9.238571166992188
84,2010-05-05,9.142499923706055
85,2010-05-06,8.79464340209961
86,2010-05-07,8.42357063293457
87,2010-05-10,9.071070671081543
88,2010-05-11,9.161429405212402
89,2010-05-12,9.360357284545898
90,2010-05-13,9.227143287658691
91,2010-05-14,9.0649995803833
92,2010-05-17,9.079285621643066
93,2010-05-18,9.012857437133789
94,2010-05-19,8.869285583496094
95,2010-05-20,8.491429328918457
96,2010-05-21,8.65428638458252
97,2010-05-24,8.812856674194336
98,2010-05-25,8.757857322692871
99,2010-05-26,8.71821403503418
100,2010-05-27,9.048213958740234
101,2010-05-28,9.174285888671875
102,2010-06-01,9.315357208251953
103,2010-06-02,9.426786422729492
104,2010-06-03,9.397143363952637
105,2010-06-04,9.14142894744873
106,2010-06-07,8.962142944335938
107,2010-06-08,8.904643058776855
108,2010-06-09,8.685713768005371
109,2010-06-10,8.946785926818848
110,2010-06-11,9.053929328918457
111,2010-06-14,9.081428527832031
112,2010-06-15,9.274642944335938
113,2010-06-16,9.54464340209961
114,2010-06-17,9.709643363952637
115,2010-06-18,9.788213729858398
116,2010-06-21,9.64892864227295
117,2010-06-22,9.780357360839844
118,2010-06-23,9.677499771118164
119,2010-06-24,9.60714340209961
120,2010-06-25,9.524999618530273
121,2010-06-28,9.58214282989502
122,2010-06-29,9.14892864227295
123,2010-06-30,8.983214378356934
124,2010-07-01,8.874285697937012
125,2010-07-02,8.819286346435547
126,2010-07-06,8.879643440246582
127,2010-07-07,9.238213539123535
128,2010-07-08,9.217499732971191
129,2010-07-09,9.272143363952637
130,2010-07-12,9.188928604125977
131,2010-07-13,8.992856979370117
132,2010-07-14,9.026070594787598
133,2010-07-15,8.98035717010498
134,2010-07-16,8.925000190734863
135,2010-07-19,8.770713806152344
136,2010-07-20,8.996070861816406
137,2010-07-21,9.079999923706055
138,2010-07-22,9.250714302062988
139,2010-07-23,9.283571243286133
140,2010-07-26,9.260000228881836
141,2010-07-27,9.431428909301758
142,2010-07-28,9.319999694824219
143,2010-07-29,9.21821403503418
144,2010-07-30,9.1875
145,2010-08-02,9.351785659790039
146,2010-08-03,9.354642868041992
147,2010-08-04,9.392143249511719
148,2010-08-05,9.346428871154785
149,2010-08-06,9.288928985595703
150,2010-08-09,9.348214149475098
151,2010-08-10,9.264642715454102
152,2010-08-11,8.935357093811035
153,2010-08-12,8.992500305175781
154,2010-08-13,8.896429061889648
155,2010-08-16,8.84428596496582
156,2010-08-17,8.998929023742676
157,2010-08-18,9.038213729858398
158,2010-08-19,8.924285888671875
159,2010-08-20,8.915714263916016
160,2010-08-23,8.778571128845215
161,2010-08-24,8.568928718566895
162,2010-08-25,8.674642562866211
163,2010-08-26,8.581428527832031
