,close,30,90,180,360
A,134.83999633789062,5.245083887613755,19.291126997576292,11.304598322638014,-5.299316617179484
AAL,14.640000343322754,13.225057987527444,21.23677514058937,-1.1968105427681452,-6.692155928246979
AAPL,182.30999755859375,-0.07519533349017449,-2.949753622052631,5.810011891342426,23.439597459314744
ABBV,177.49000549316406,9.534690722770755,28.906134785915395,18.45544144456337,21.49280719248372
ABNB,152.50999450683594,12.987108708079731,24.018875775877625,18.503118376287155,18.426771200866
ABT,114.01000213623047,0.0702201622403198,14.705156202856017,9.174314654285599,12.229487549703745
ACGL,86.11000061035156,9.457229712181636,4.545458278846892,12.799049915244165,27.475938889851427
ACN,369.4800109863281,4.476181920839317,13.737800550094658,23.41683343030685,39.39670510332833
ADBE,546.6599731445312,-8.293911166966428,-2.0276725264105733,18.997100610892083,57.67521023855468
ADI,188.24000549316406,1.5154036177394747,2.935610454379556,7.020061877174677,3.1482269604355295
ADM,53.650001525878906,-21.41993424630715,-25.873963087141394,-34.67688510159448,-32.29804670790715
ADP,252.97000122070312,7.468457401180406,10.544444312087187,1.0492032049894906,15.150225356614655
ADSK,258.29998779296875,8.3155057117281,20.208897896705167,31.29508365588618,19.83297802642379
AEE,69.51000213623047,-1.151873666252834,-9.096306435033174,-13.464704692537167,-16.649017539009304
AEP,81.3499984741211,3.2063172558193243,6.3399928342282585,2.018234626232629,-6.602720078917312
AES,16.770000457763672,-2.628031262919295,-0.33611929822097153,-8.44349875340672,-32.00041732576321
AFL,79.37999725341797,-4.165162986080295,-1.9567060533281389,6.585470676842653,18.534338632301385
AIG,70.04000091552734,4.928840322887407,9.615471091274674,20.723382899217402,20.190402961253607
AIZ,173.72000122070312,5.015314733783005,7.893726500034881,23.76020467785147,35.36488811594314
AJG,239.22000122070312,2.2351363753832842,-1.7758459455604836,8.722876331795337,29.56333148406438
AKAM,109.19000244140625,-7.238124806162105,-0.7119364885680324,13.776017161222565,42.91884850868808
ALB,122.58999633789062,1.5658653168474368,-7.499386170554734,-37.31022780649271,-48.89383040265888
ALGN,308.7699890136719,18.959004437488236,49.90804777808653,-13.588876396312521,1.5690753334447027
ALK,37.52000045776367,11.633441762592135,2.6931494115082,-12.78934103848064,-21.47341687664268
ALL,161.77999877929688,6.05047233228011,21.434541995239286,54.26872384455124,24.023554431019424
ALLE,132.4199981689453,11.539754723194108,25.827761538310877,22.864866842510235,17.00973753401691
AMAT,199.57000732421875,30.123240319418798,26.565199650307726,31.077225377368812,81.00267773947252
AMCR,9.039999961853027,-4.439747088798274,-2.758248973471966,-3.9681085981740694,-14.275206992893407
AMD,173.8699951171875,8.553410192208165,46.54285398931872,69.46420305346538,126.48170212326147
AME,173.88999938964844,8.633717394313333,11.793664745023968,12.641164492147805,22.41759840088755
AMGN,283.70001220703125,-5.972830047000022,9.774205006579685,11.660965393490862,23.086645616611158
AMP,397.79998779296875,7.288326280841839,14.770737051605165,18.639203190877794,18.74003448396482
AMT,187.1300048828125,-8.694799868638171,-3.428107653215584,8.75736318125,-5.443908730554947
AMZN,169.50999450683594,11.732902910313904,16.958266715826632,28.344088095510255,79.22392812978198
ANET,261.75,5.124701484126937,24.167168586474386,47.15299839780174,94.56626951243332
ANSS,329.8500061035156,-0.11809112838896407,10.525619592151191,12.785810906162132,24.0924002607559
AON,311.239990234375,2.843072609017594,-4.464613207049339,-4.424160470703164,2.9558833847084243
AOS,80.08999633789062,0.3558586859384594,6.465966903672604,18.798251153047563,24.073029604334728
APA,31.56999969482422,3.3085531697475634,-14.546417453476979,-31.661468305158024,-14.77906456480963
APD,226.85000610351562,-12.796958049653062,-15.40146691200519,-22.84803175226946,-16.206614466633397
APH,105.5199966430664,10.689179289087392,18.06542674926417,22.723755880029195,36.77893891549715
APTV,78.95999908447266,0.1268050638437046,-2.180335841848424,-17.45932242730929,-32.106623377015275
ARE,119.27999877929688,-3.17396183506784,16.240332326317652,0.7107382213647151,-20.888010534050917
ATO,113.94999694824219,1.0732651298563711,1.0443509473078372,-2.7100945081272143,0.1642124882504259
AVB,177.1199951171875,-0.7063626702178638,6.106135630042631,-1.6119650484928583,4.560784274161578
AVGO,1245.47998046875,12.848943151207258,29.98343263426133,54.3797796213912,119.04366984491608
AVY,208.8300018310547,6.345168316794747,10.306417896819742,17.49395850959776,18.720735405166387
AWK,122.81999969482422,-3.804810732573738,-5.388166851355325,-12.292050154454092,-15.029579758516508
AXON,269.79998779296875,7.700288894304541,22.06462044034594,35.35231787938069,42.17209343875301
AXP,212.55999755859375,17.43646273955455,31.161793822053863,32.5910660859148,24.310071008539346
AZO,2727.830078125,2.1961598392548742,3.7239425273993154,10.920978215047029,6.011728549740258
BA,203.88999938964844,0.40874709003932974,-1.3026300435180604,-10.266926821228928,-0.7931125189407751
BAC,34.09000015258789,7.20126091342328,14.549450915899032,15.674029436383474,1.8291901968559454
BALL,62.09000015258789,13.65549869781475,19.30462633805856,14.452266405044224,10.452866006083394
BAX,41.220001220703125,6.53916434167976,16.381250605238783,-3.7177139541651916,4.27608558115693
BBWI,45.400001525878906,6.049988482840329,54.97274882193939,20.897327629108364,13.31775754325777
BBY,73.75,3.6688229304811415,10.803133531108887,-2.644545599187864,-6.812645946261986
BDX,240.75999450683594,2.7571452714198585,3.288241495839972,-12.161414472679033,2.044010778667271
BEN,27.270000457763672,-0.3653649192673081,13.958847232028893,4.30339503512156,-4.542794234271097
BF.B,,,,,
BG,91.68000030517578,-2.260250033978417,-14.478976510302587,-19.950903820713993,-2.095913518178205
